dataset,verdict,fl_seconds,sf_seconds,fl_peak_mb,sf_peak_mb,relations,nonHR_rowcounts_equal,exact_or_partition_match,ord_rep_differ
tomcat,MATCH,15.8,27.0,4255,2514,22,21/21,17,5
cassandra,MATCH,15.6,25.6,4053,2263,22,21/21,20,2
luindex,MATCH,19.8,36.5,5323,3692,22,21/21,20,2
lusearch,MATCH,20.2,36.7,5418,3790,22,21/21,19,3
batik,MATCH,56.9,141.4,13447,15539,22,21/21,19,3
avrora,MATCH,26.4,32.0,4452,2855,22,21/21,20,2
fop,MATCH,51.0,81.9,9482,9605,22,21/21,17,5
xalan,MATCH,46.3,36.1,4789,3305,22,21/21,19,3
zxing,MATCH,27.3,35.8,5095,3524,22,21/21,19,3
sunflow,MATCH,27.0,42.4,6120,4376,21,21/21,20,2
h2,MATCH,46.6,116.6,13954,16895,21,21/21,19,3
pmd,MATCH,30.5,36.0,5237,3706,21,21/21,20,2
spring,MATCH,52.0,127.4,13539,15682,21,21/21,19,3
eclipse,MATCH,26.1,53.8,7582,6035,21,21/21,17,5
jme,MATCH,39.6,42.3,5690,4114,21,21/21,20,2
kafka,MATCH,72.3,56.4,6774,5841,21,21/21,20,2
graphchi,MATCH,92.9,72.3,7903,7847,21,21/21,20,2
biojava,MATCH,62.9,50.7,6617,5511,21,21/21,19,3
h2o,MATCH,432.0,204.5,24339,30624,21,21/21,20,2
jython,FAIL_OOM,NA,NA,178600,NA,NA,NA,NA,NA
