stem,ds,FL_s,FL_MB,SF_s,SF_MB,SF_over_FL,crosscheck
ci,avrora,20.95,4156,23.27,2405,1.11,match(21)
ci,tomcat,14.6,3901,19.9,2079,1.36,match(21)
ci,cassandra,14.42,3670,17.4,1827,1.21,match(21)
ci,xalan,37.87,4391,27.51,2868,0.73,match(21)
ci,jme,31.54,5139,36.31,3660,1.15,match(21)
ci,zxing,22.13,4626,28.86,3135,1.30,match(21)
ci,pmd,24.71,4728,30.71,3380,1.24,match(21)
ci,biojava,50.94,6054,46.26,5132,0.91,match(21)
ci,luindex,18.51,4814,30.33,3336,1.64,match(21)
ci,lusearch,18.63,4793,29.64,3421,1.59,match(21)
ci,sunflow,22.91,5545,34.79,3982,1.52,match(21)
pol,clap,49.25,16978,246.77,12642,5.01,match(20)
pol,borrow,45.25,16966,202.81,12638,4.48,match(20)
ci,eclipse,23.53,6317,47.84,5647,2.03,match(21)
ci,fop,42.41,8331,83.29,9220,1.96,match(21)
ci,kafka,59.05,6265,51.96,5448,0.88,match(21)
ci,graphchi,76.31,7255,66.88,7452,0.88,match(21)
ci,h2,40.73,11901,116.96,16535,2.87,match(21)
ci,spring,46.52,11383,128.33,15160,2.76,match(21)
ci,batik,53.65,11146,146.11,14880,2.72,match(21)
ci,h2o,403.56,23709,192.77,30346,0.48,match(21)
