dataset,engine,threads,wall_s,peak_rss_mb,exit
avrora,flowlog,32,2.12,1884,0
avrora,flowlog,48,2.52,2442,0
avrora,souffle,32,7.77,685,0
avrora,souffle,48,8.31,682,0
cassandra,flowlog,32,1.49,1514,0
cassandra,flowlog,48,1.90,2052,0
cassandra,souffle,32,5.05,420,0
cassandra,souffle,48,5.63,421,0
lusearch,flowlog,32,2.14,1655,0
lusearch,flowlog,48,2.69,2076,0
lusearch,souffle,32,6.37,519,0
lusearch,souffle,48,6.88,517,0
tomcat,flowlog,32,2.18,1956,0
tomcat,flowlog,48,2.63,2513,0
tomcat,souffle,32,7.63,623,0
tomcat,souffle,48,8.03,620,0
luindex,flowlog,32,2.65,2098,0
luindex,flowlog,48,3.22,2713,0
luindex,souffle,32,8.23,711,0
luindex,souffle,48,8.83,716,0
zxing,flowlog,32,2.62,2255,0
zxing,flowlog,48,3.20,2666,0
zxing,souffle,32,10.94,865,0
zxing,souffle,48,11.69,867,0
xalan,flowlog,32,2.44,2075,0
xalan,flowlog,48,2.91,2621,0
xalan,souffle,32,11.30,994,0
xalan,souffle,48,12.09,992,0
pmd,flowlog,32,3.43,2714,0
pmd,flowlog,48,4.15,3244,0
pmd,souffle,32,11.97,1054,0
pmd,souffle,48,12.97,1062,0
jme,flowlog,32,2.78,2420,0
jme,flowlog,48,3.42,2729,0
jme,souffle,32,12.29,1154,0
jme,souffle,48,13.54,1155,0
sunflow,flowlog,32,4.25,3107,0
sunflow,flowlog,48,4.94,3777,0
sunflow,souffle,32,14.78,1293,0
sunflow,souffle,48,16.02,1294,0
kafka,flowlog,32,3.25,2749,0
kafka,flowlog,48,3.75,3200,0
kafka,souffle,32,16.77,1563,0
kafka,souffle,48,17.58,1563,0
biojava,flowlog,32,3.90,2996,0
biojava,flowlog,48,4.34,3664,0
biojava,souffle,32,17.77,1629,0
biojava,souffle,48,18.91,1629,0
graphchi,flowlog,32,3.68,3063,0
graphchi,flowlog,48,4.04,3361,0
graphchi,souffle,32,20.13,1866,0
graphchi,souffle,48,21.22,1865,0
spring,flowlog,32,7.10,4559,0
spring,flowlog,48,8.13,5064,0
spring,souffle,32,23.11,1829,0
spring,souffle,48,25.14,1853,0
eclipse,flowlog,32,8.96,4751,0
eclipse,flowlog,48,11.37,6371,0
eclipse,souffle,32,21.74,1854,0
eclipse,souffle,48,23.48,1807,0
h2,flowlog,32,8.56,5561,0
h2,flowlog,48,10.06,6212,0
h2,souffle,32,26.00,2349,0
h2,souffle,48,27.56,2358,0
fop,flowlog,32,9.07,5640,0
fop,flowlog,48,10.86,6335,0
fop,souffle,32,28.65,2624,0
fop,souffle,48,30.14,2653,0
batik,flowlog,32,9.61,5261,0
batik,flowlog,48,11.42,6170,0
batik,souffle,32,29.85,2512,0
batik,souffle,48,32.03,2551,0
h2o,flowlog,32,12.85,8298,0
h2o,flowlog,48,14.65,8747,0
h2o,souffle,32,64.41,5644,0
h2o,souffle,48,65.27,5654,0
jython,flowlog,32,285.52,54975,0
jython,flowlog,48,347.16,52550,0
jython,souffle,32,424.90,19105,0
jython,souffle,48,410.57,19210,0
