Dataset,FlowLog_32t_s,Souffle_32t_s,Speedup_32t,FlowLog_32t_RSS_MB,Souffle_32t_RSS_MB,Mem_ratio_32t,FlowLog_48t_s,Souffle_48t_s,Speedup_48t,FlowLog_48t_RSS_MB,Souffle_48t_RSS_MB,Mem_ratio_48t
cassandra,1.49,5.05,3.39,1514,420,3.60,1.90,5.63,2.96,2052,421,4.87
avrora,2.12,7.77,3.67,1884,685,2.75,2.52,8.31,3.30,2442,682,3.58
lusearch,2.14,6.37,2.98,1655,519,3.19,2.69,6.88,2.56,2076,517,4.02
tomcat,2.18,7.63,3.50,1956,623,3.14,2.63,8.03,3.05,2513,620,4.05
xalan,2.44,11.30,4.63,2075,994,2.09,2.91,12.09,4.15,2621,992,2.64
zxing,2.62,10.94,4.18,2255,865,2.61,3.20,11.69,3.65,2666,867,3.07
luindex,2.65,8.23,3.11,2098,711,2.95,3.22,8.83,2.74,2713,716,3.79
jme,2.78,12.29,4.42,2420,1154,2.10,3.42,13.54,3.96,2729,1155,2.36
kafka,3.25,16.77,5.16,2749,1563,1.76,3.75,17.58,4.69,3200,1563,2.05
pmd,3.43,11.97,3.49,2714,1054,2.57,4.15,12.97,3.13,3244,1062,3.05
graphchi,3.68,20.13,5.47,3063,1866,1.64,4.04,21.22,5.25,3361,1865,1.80
biojava,3.90,17.77,4.56,2996,1629,1.84,4.34,18.91,4.36,3664,1629,2.25
sunflow,4.25,14.78,3.48,3107,1293,2.40,4.94,16.02,3.24,3777,1294,2.92
spring,7.10,23.11,3.25,4559,1829,2.49,8.13,25.14,3.09,5064,1853,2.73
h2,8.56,26.00,3.04,5561,2349,2.37,10.06,27.56,2.74,6212,2358,2.63
eclipse,8.96,21.74,2.43,4751,1854,2.56,11.37,23.48,2.07,6371,1807,3.53
fop,9.07,28.65,3.16,5640,2624,2.15,10.86,30.14,2.78,6335,2653,2.39
batik,9.61,29.85,3.11,5261,2512,2.09,11.42,32.03,2.80,6170,2551,2.42
h2o,12.85,64.41,5.01,8298,5644,1.47,14.65,65.27,4.46,8747,5654,1.55
jython,285.52,424.90,1.49,54975,19105,2.88,347.16,410.57,1.18,52550,19210,2.74
