Variant,Kind,Signature,Total_s,PeakRss_MB,RunsSucceeded,vs_Default,SemanticPreserve
default,default,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.916621055,4098.75,3,1.000000,match
ablation_r0_p01,ablation,"r0=0,2,1;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",9.068426805,4098.90,3,1.017025,match
ablation_r0_p02,ablation,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",14.426019080,8422.92,3,1.617880,match
ablation_r1_p01,ablation,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.583124228,4140.42,3,0.962598,match
ablation_r1_p02,ablation,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",121.421639489,36988.84,3,13.617450,match
ablation_r2_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",14.667220375,4259.27,3,1.644930,match
ablation_r2_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.641323421,4120.06,3,0.969125,match
ablation_r3_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=1,2,0;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.717050517,4130.44,3,0.977618,match
ablation_r4_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,3,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.773811659,4073.25,3,0.983984,match
ablation_r4_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,2,1,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.971870442,4131.49,3,1.006196,match
ablation_r4_p03,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,2,3,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.722323244,4162.59,3,0.978209,match
ablation_r4_p04,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.630598139,4073.75,3,0.967922,match
ablation_r4_p05,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,2,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",9.058850828,4072.23,3,1.015951,match
ablation_r4_p06,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,2,0,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.638443985,4110.52,3,0.968802,match
ablation_r4_p07,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,2,3,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.707009371,4138.19,3,0.976492,match
ablation_r4_p08,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,3,0,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.868919446,4125.06,3,0.994650,match
ablation_r4_p09,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,3,2,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.956410423,4069.59,3,1.004462,match
ablation_r4_p10,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.994431051,4082.70,3,1.008726,match
ablation_r4_p11,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,1,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",9.153266499,4175.81,3,1.026540,match
ablation_r5_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,0,3,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.898394854,4071.99,3,0.997956,match
ablation_r5_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,3,1,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.947816505,4149.84,3,1.003499,match
ablation_r5_p03,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.339170580,4077.03,3,0.935239,match
ablation_r5_p04,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,3,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.731303390,4109.36,3,0.979217,match
ablation_r5_p05,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=1,2,0,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.953389593,4097.90,3,1.004124,match
ablation_r5_p06,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=1,2,0,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.849281765,4102.52,3,0.992448,match
ablation_r5_p07,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,1,0,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.513853426,4119.95,3,0.954830,match
ablation_r5_p08,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,3,4,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.537025125,4096.36,3,0.957428,match
ablation_r5_p09,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=3,4,2,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.480102999,4097.88,3,0.951044,match
ablation_r5_p10,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,3,4,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.743530967,4094.10,3,0.980588,match
ablation_r5_p11,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,1,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.894901797,4071.80,3,0.997564,match
ablation_r5_p12,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,3,0,1,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8.578477109,4178.34,3,0.962077,match
ablation_r6_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,2,1;r7=0,1,2,3,4;r8=0,1,2",9.012387082,4289.24,3,1.010740,match
ablation_r6_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=1,2,0;r7=0,1,2,3,4;r8=0,1,2",8.763451643,4425.25,3,0.982822,match
