Variant,Kind,Signature,Total_s,PeakRss_MB,RunsSucceeded,vs_Default,SemanticPreserve
default,default,"r0=0,1,2;r1=0,1,2;r2=0,1,2",6.278349132,5039.92,3,1.000000,match
ablation_r2_p01,ablation,"r0=0,1,2;r1=0,1,2;r2=0,2,1",15.984266902,8935.71,3,2.545935,match
ablation_r2_p02,ablation,"r0=0,1,2;r1=0,1,2;r2=1,2,0",6.661803079,5215.72,3,1.061076,match
ablation_r1_p01,ablation,"r0=0,1,2;r1=0,2,1;r2=0,1,2",162.271986408,86879.51,3,25.846283,match
variant_0001,variant,"r0=0,1,2;r1=0,2,1;r2=0,2,1",170.134357184,88045.86,3,27.098582,match
variant_0002,variant,"r0=0,1,2;r1=0,2,1;r2=1,2,0",158.530897708,86718.96,3,25.250411,match
ablation_r1_p02,ablation,"r0=0,1,2;r1=1,2,0;r2=0,1,2",8.165052017,5461.18,3,1.300509,match
variant_0003,variant,"r0=0,1,2;r1=1,2,0;r2=0,2,1",16.750030293,8850.88,3,2.667904,match
variant_0004,variant,"r0=0,1,2;r1=1,2,0;r2=1,2,0",8.666553995,5658.52,3,1.380387,match
ablation_r0_p01,ablation,"r0=0,2,1;r1=0,1,2;r2=0,1,2",8.166205934,5765.06,3,1.300693,match
variant_0005,variant,"r0=0,2,1;r1=0,1,2;r2=0,2,1",18.021090691,9931.99,3,2.870355,match
variant_0006,variant,"r0=0,2,1;r1=0,1,2;r2=1,2,0",8.488334583,5806.37,3,1.352001,match
variant_0007,variant,"r0=0,2,1;r1=0,2,1;r2=0,1,2",159.193727898,87572.24,3,25.355985,match
variant_0008,variant,"r0=0,2,1;r1=0,2,1;r2=0,2,1",170.863522255,86926.24,3,27.214721,match
variant_0009,variant,"r0=0,2,1;r1=0,2,1;r2=1,2,0",159.873306264,87348.72,3,25.464227,match
variant_0010,variant,"r0=0,2,1;r1=1,2,0;r2=0,1,2",9.712920808,6344.76,3,1.547050,match
variant_0011,variant,"r0=0,2,1;r1=1,2,0;r2=0,2,1",19.065600716,10138.77,3,3.036722,match
variant_0012,variant,"r0=0,2,1;r1=1,2,0;r2=1,2,0",9.947389980,6227.32,3,1.584396,match
ablation_r0_p02,ablation,"r0=1,2,0;r1=0,1,2;r2=0,1,2",TIMEOUT,251634.00,0,N/A,TIMEOUT
variant_0013,variant,"r0=1,2,0;r1=0,1,2;r2=0,2,1",TIMEOUT,250705.30,0,N/A,TIMEOUT
variant_0014,variant,"r0=1,2,0;r1=0,1,2;r2=1,2,0",TIMEOUT,250848.94,0,N/A,TIMEOUT
variant_0015,variant,"r0=1,2,0;r1=0,2,1;r2=0,1,2",TIMEOUT,251529.24,0,N/A,TIMEOUT
variant_0016,variant,"r0=1,2,0;r1=0,2,1;r2=0,2,1",N/A,N/A,0,N/A,FAIL
variant_0017,variant,"r0=1,2,0;r1=0,2,1;r2=1,2,0",N/A,N/A,0,N/A,FAIL
variant_0018,variant,"r0=1,2,0;r1=1,2,0;r2=0,1,2",TIMEOUT,250766.54,0,N/A,TIMEOUT
variant_0019,variant,"r0=1,2,0;r1=1,2,0;r2=0,2,1",TIMEOUT,250837.27,0,N/A,TIMEOUT
variant_0020,variant,"r0=1,2,0;r1=1,2,0;r2=1,2,0",TIMEOUT,251918.34,0,N/A,TIMEOUT
