Program,Dataset,Compiler_Exec_s,Lib_Exec_s,Souffle_Total_s,Compiler_PeakRss_MB,Lib_PeakRss_MB,Souffle_PeakRss_MB,Speedup_vs_Souffle,Crosscheck
doop,cassandra,5.591443974,n/a,5.006516457,4728.80,n/a,419.21,0.895389,match(26)
doop,avrora,8.018334534,n/a,7.723808527,6076.07,n/a,683.73,0.963268,match(26)
doop,graphchi,14.765575043,n/a,20.318147659,11444.78,n/a,1866.65,1.376049,match(26)
doop,kafka,13.307099185,n/a,16.721878290,10288.35,n/a,1565.62,1.256613,match(26)
doop,lusearch,10.276424734,n/a,6.345095873,6470.45,n/a,519.77,0.617442,match(26)
doop,xalan,11.193730376,n/a,11.358521223,8808.38,n/a,993.70,1.014722,match(26)
doop,zxing,13.693127724,n/a,10.884221077,10988.68,n/a,862.72,0.794867,match(26)
doop,jme,13.612388509,n/a,12.455728769,10674.43,n/a,1156.29,0.915029,match(26)
doop,biojava,17.143184734,n/a,17.966500044,14036.71,n/a,1626.97,1.048026,match(26)
doop,tomcat,11.920917324,n/a,7.613005638,10424.72,n/a,621.07,0.638626,match(26)
doop,luindex,15.550997966,n/a,8.257455111,12358.88,n/a,710.32,0.530992,match(26)
doop,pmd,20.195706917,n/a,11.950867176,15105.50,n/a,1056.52,0.591753,match(26)
doop,sunflow,29.096790227,n/a,14.760171413,22347.79,n/a,1277.15,0.507278,match(26)
doop,h2o,80.534775244,n/a,64.944291830,51947.60,n/a,5641.89,0.806413,match(26)
doop,spring,57.299300612,n/a,23.077888489,46161.80,n/a,1833.09,0.402760,match(26)
doop,batik,79.219423629,n/a,29.687949896,52366.71,n/a,2513.46,0.374756,match(26)
doop,eclipse,79.794944969,n/a,21.667720318,47447.34,n/a,1808.44,0.271543,match(26)
doop,fop,78.104163804,n/a,28.455366135,59407.29,n/a,2615.59,0.364326,match(26)
doop,h2,67.890537537,n/a,25.853399992,53828.09,n/a,2342.67,0.380810,match(26)
polonius,clap-rs,310.999131659,n/a,140.155301571,86925.56,n/a,12725.98,0.450661,match(20)
polonius,clap,351.214751299,n/a,140.796869516,106857.61,n/a,12726.50,0.400885,match(20)
polonius,wgpu,309.155077325,n/a,141.059055805,86653.12,n/a,12724.50,0.456273,match(20)
polonius,materialize,93.875928915,n/a,52.640070200,23664.07,n/a,4679.00,0.560741,match(20)
polonius,scallop,42.810773942,n/a,35.499572754,24881.42,n/a,5463.97,0.829221,match(20)
