Program,Dataset,Compiler_Exec_s,Lib_Exec_s,Souffle_Total_s,Compiler_PeakRss_MB,Lib_PeakRss_MB,Souffle_PeakRss_MB,Speedup_vs_Souffle,Crosscheck
tc,G5K-0.001,1.572235669,1.628835108,4.043679237,1870.36,1854.80,1113.50,2.571780,match(1)
tc,G10K-0.001,7.507173353,7.662647301,17.902577639,5997.33,6079.39,4912.50,2.384517,match(1)
sg,G5K-0.001,2.785468601,2.604912718,5.511687756,3655.95,3625.54,1203.50,1.978670,match(1)
sg,G10K-0.001,17.718409150,16.800118175,50.146453381,9737.53,9546.65,5230.50,2.830130,match(1)
reach,livejournal,1.193293126,1.336229216,19.824875355,2644.50,3360.55,1404.00,14.534402,match(1)
reach,orkut,1.965359208,2.176029105,36.004593849,4183.75,4752.31,2448.50,15.973411,match(1)
reach,arabic,9.206633669,9.598463001,192.360882759,21020.18,20425.18,12476.01,17.832737,match(1)
bipartite,mind,0.616146101,0.555695795,16.433090687,1217.38,1224.37,521.50,26.660084,match(3)
bipartite,netflix,2.739948477,2.485630334,108.882533073,4622.46,4540.61,2811.50,39.738527,match(3)
bipartite,mag,35.274551324,31.734057209,361.307528973,44535.83,45113.89,21112.00,10.242707,match(3)
bipartite,roadNet-CA,1.390807954,1.119097347,8.942986250,826.25,818.54,210.50,6.429998,match(3)
dyck,kernel,0.761291059,0.676285624,9.073725939,1919.99,1891.97,648.50,11.532019,match(3)
dyck,postgre,0.612414903,0.517280049,4.910834074,1809.50,1818.99,331.50,7.869007,match(3)
crdt,crdt,7.492542620,6.832761022,9.166538954,656.77,656.47,122.50,1.223395,match(8)
galen,galen,6.540155445,6.115698613,27.497384548,6174.75,6168.46,3191.15,4.204375,match(2)
andersen,medium,0.739232902,0.657671946,36.078454733,1567.45,1705.19,1051.00,47.213339,match(1)
andersen,large,1.331933359,1.113140546,80.315384865,2430.06,2672.82,2100.50,58.161542,match(1)
cspa,cspa-httpd,13.630615016,12.850702806,46.818731308,13481.36,13534.58,8701.80,3.434191,match(1)+aux(2)
cspa,cspa-linux,3.456004991,3.421605854,12.309937239,4779.76,4859.58,1802.18,3.530708,match(1)+aux(2)
cspa,cspa-postgresql,13.125259258,12.894139201,55.519535542,13595.04,13760.77,10150.72,4.227143,match(1)+aux(2)
csda,csda-httpd,1.114335363,0.881893225,7.237926722,1561.46,1523.07,566.50,6.354337,match(1)
csda,csda-linux,5.844256496,5.189294859,37.103407383,3414.21,3425.64,2917.58,6.218347,match(1)
csda,csda-postgresql,2.506394281,2.393300854,21.673330784,2264.35,2417.86,1600.96,8.370947,match(1)
batik,batik,11.286440893,10.791313622,33.233349085,6129.53,6074.79,1894.61,2.944503,match(19)
biojava,biojava,3.456550492,3.078754753,13.333968639,3090.99,3155.29,582.85,3.857050,match(19)
eclipse,eclipse,11.960463472,11.594530657,25.184277773,5952.60,5928.12,1523.77,2.105605,match(19)
xalan,xalan,2.599358038,2.426482637,9.355121136,2608.04,2592.13,352.21,3.598737,match(19)
cvc5,cvc5,8.439686145,8.289034601,13.141416311,5143.09,5180.55,1559.95,1.557085,match(11)
z3,z3,15.074643117,13.919017406,90.078023434,12677.43,12774.80,6281.89,5.973881,match(11)
zxing,zxing,3.233497964,3.04766826,10.686680317,2988.03,2966.65,452.95,3.304766,match(19)
