Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded,Ddlog_Total,Ddlog_PeakRss_MB,Ddlog_vs_Compiler_Total,Crosscheck_Ddlog,Ddlog_RunsSucceeded,Ascent_Total,Ascent_PeakRss_MB,Ascent_vs_Compiler_Total,Crosscheck_Ascent,Ascent_RunsSucceeded,Souffle_Load,Souffle_Exec,Ddlog_Load,Ddlog_Exec,Ascent_Load,Ascent_Exec
polonius_int,clap-rs,N/A,0.000021721,,N/A,50.448215530,,N/A,50.448237251,,N/A,14725.13,329.432977200,12794.69,6.530119,match(20),,3,3,478.717176199,161961.42,9.489275,PARTIAL(20):souffle-only=out_known_placeholder_subset,3,145.099262000,24633.98,2.876201,match(20),3,0.366088000,326.970714000,4.296365521,433.041573891,0.064546000,145.034716000
polonius_int,wgpu,N/A,0.000020909,,N/A,48.522491610,,N/A,48.522512519,,N/A,14803.02,341.388339996,14283.45,7.035669,match(20),,3,3,496.068337679,161749.01,10.223468,PARTIAL(20):souffle-only=out_known_placeholder_subset,3,145.184712000,24684.59,2.992110,match(20),3,0.371219000,339.226604000,4.479487864,452.022833656,0.068159000,145.116553000
polonius_int,materialize,N/A,0.000014517,,N/A,15.813780487,,N/A,15.813795004,,N/A,4624.54,81.362453699,4750.34,5.145030,match(20),,3,3,237.827382326,60278.30,15.039235,PARTIAL(20):souffle-only=out_known_placeholder_subset,3,57.879510000,11005.69,3.660065,match(20),3,6.407313000,73.246231000,81.303450809,134.667124158,0.853658000,57.025852000
polonius_int,scallop,N/A,0.000015178,,N/A,7.116497801,,N/A,7.116512979,,N/A,5742.00,37.535606146,5290.80,5.274438,match(20),,3,3,252.215990305,52857.70,35.440951,PARTIAL(20):souffle-only=out_known_placeholder_subset,3,37.531712000,11792.45,5.273891,match(20),3,10.950050000,23.758552000,134.063344195,96.008346431,1.118355000,36.413357000
tc,G5K-0.001,N/A,0.000091913,,N/A,1.562327417,,N/A,1.562419330,,N/A,1379.05,6.968010187,1126.99,4.459757,match(1),,3,3,24.282727242,15493.15,15.541748,match(1),3,4.373853000,1048.73,2.799410,match(1),3,0.005510000,6.620495000,0.085462675,21.588685537,0.001739000,4.372114000
tc,G10K-0.001,N/A,0.000315826,,N/A,8.934964059,,N/A,8.935279885,,N/A,4942.48,24.100153685,4928.62,2.697191,match(1),,3,3,116.286572456,58084.24,13.014318,match(1),3,40.271754000,4161.48,4.507050,match(1),3,0.021161000,24.423640000,0.317921752,106.358697276,0.004245000,40.267509000
sg,G5K-0.001,N/A,0.000069831,,N/A,2.898334599,,N/A,2.898404430,,N/A,2739.84,8.884566545,1219.89,3.065330,match(1),,3,3,29.047523499,18429.24,10.021901,match(1),3,6.723045000,924.12,2.319568,match(1),3,0.005803000,8.292601000,0.081184877,25.882108739,0.001599000,6.721446000
sg,G10K-0.001,N/A,0.000304424,,N/A,20.419784114,,N/A,20.420088538,,N/A,8314.08,68.529078245,5248.21,3.355964,match(1),,3,3,134.302239656,65098.51,6.576967,match(1),3,64.926960000,3981.07,3.179563,match(1),3,0.022129000,66.463690000,0.325641961,124.023803386,0.004338000,64.922622000
reach,livejournal,N/A,0.138429611,,N/A,1.504839231,,N/A,1.643268842,,N/A,2066.67,18.040639162,1417.25,10.978507,match(1),,3,3,259.375501394,12913.79,157.841185,match(1),3,5.913775000,3556.30,3.598787,match(1),3,17.160100000,0.855984000,252.871395962,4.781039540,2.642639000,3.271136000
reach,orkut,N/A,0.231982505,,N/A,2.037898867,,N/A,2.269881372,,N/A,3429.00,32.250160456,2457.88,14.207862,match(1),,3,3,425.852181435,14697.95,187.609884,match(1),3,8.636641000,3646.16,3.804887,match(1),3,30.073527000,1.543620000,420.062045899,4.046624954,4.137332000,4.499309000
