Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded,Ddlog_Total,Ddlog_PeakRss_MB,Ddlog_vs_Compiler_Total,Crosscheck_Ddlog,Ddlog_RunsSucceeded
polonius_int,clap-rs,N/A,0.000025698,,N/A,45.334037897,,N/A,45.334063595,,N/A,14825.76,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
polonius_int,wgpu,N/A,0.000026049,,N/A,47.014680561,,N/A,47.014706610,,N/A,14745.56,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
polonius_int,materialize,N/A,0.000013837,,N/A,16.653949945,,N/A,16.653963782,,N/A,4546.30,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
polonius_int,scallop,N/A,0.000018304,,N/A,6.363040454,,N/A,6.363058758,,N/A,5487.91,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
polonius_str,clap-rs,N/A,0.000159490,,N/A,48.020807722,,N/A,48.020967212,,N/A,14671.34,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
polonius_str,wgpu,N/A,0.000150644,,N/A,51.045939610,,N/A,51.046090254,,N/A,14686.94,N/A,N/A,N/A,n/a,,2,,N/A,N/A,N/A,n/a,
doop,avrora,N/A,0.013258243,,N/A,2.293916602,,N/A,2.307174845,,N/A,1305.43,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,batik,N/A,0.014520204,,N/A,9.943008023,,N/A,9.957528227,,N/A,4597.19,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,biojava,N/A,0.030383319,,N/A,4.903291663,,N/A,4.933674982,,N/A,2386.23,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,cassandra,N/A,0.005840174,,N/A,1.582693126,,N/A,1.588533300,,N/A,927.51,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,eclipse,N/A,0.006703091,,N/A,8.925793082,,N/A,8.932496173,,N/A,4108.04,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,fop,N/A,0.019556141,,N/A,9.073338258,,N/A,9.092894399,,N/A,4944.96,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,graphchi,N/A,0.059594848,,N/A,5.492672029,,N/A,5.552266877,,N/A,2310.26,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,h2,N/A,0.012212351,,N/A,7.948033361,,N/A,7.960245712,,N/A,4837.42,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,h2o,N/A,0.158290234,,N/A,18.230343637,,N/A,18.388633871,,N/A,7679.01,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,jme,N/A,0.019474042,,N/A,3.426463861,,N/A,3.445937903,,N/A,1810.75,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,jython,N/A,0.039003726,,N/A,300.111452764,,N/A,300.150456490,,N/A,44455.42,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,kafka,N/A,0.050282138,,N/A,4.618403635,,N/A,4.668685773,,N/A,2193.76,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,luindex,N/A,0.007750364,,N/A,2.722917224,,N/A,2.730667588,,N/A,1540.45,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,lusearch,N/A,0.003532610,,N/A,2.307772753,,N/A,2.311305363,,N/A,1109.52,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,pmd,N/A,0.012805209,,N/A,3.565893725,,N/A,3.578698934,,N/A,2076.90,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,spring,N/A,0.015397022,,N/A,6.952897810,,N/A,6.968294832,,N/A,3897.31,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,sunflow,N/A,0.013255559,,N/A,4.186350713,,N/A,4.199606272,,N/A,2537.58,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,tomcat,N/A,0.005097334,,N/A,2.183013282,,N/A,2.188110616,,N/A,1336.42,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,xalan,N/A,0.012119182,,N/A,2.928964275,,N/A,2.941083457,,N/A,1571.15,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
doop,zxing,N/A,0.012985828,,N/A,2.744127479,,N/A,2.757113307,,N/A,1615.09,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,
