Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded,Ddlog_Total,Ddlog_PeakRss_MB,Ddlog_vs_Compiler_Total,Crosscheck_Ddlog,Ddlog_RunsSucceeded,Ascent_Total,Ascent_PeakRss_MB,Ascent_vs_Compiler_Total,Crosscheck_Ascent,Ascent_RunsSucceeded,Souffle_Load,Souffle_Exec,Ddlog_Load,Ddlog_Exec,Ascent_Load,Ascent_Exec
polonius_int,clap-rs,N/A,0.000022773,,N/A,46.302903356,,N/A,46.302926129,,N/A,15216.77,145.175498009,12716.49,3.135342,match(20),,3,3,386.653322697,165398.89,8.350516,match(20),3,61.674155000,24507.52,1.331971,match(20),3,0.404384000,134.306002000,7.403683027,361.473578885,0.061650000,61.612505000
polonius_int,wgpu,N/A,0.000023684,,N/A,47.241888323,,N/A,47.241912007,,N/A,15210.59,149.278729677,14206.43,3.159879,match(20),,3,3,385.694614887,165597.98,8.164247,match(20),3,58.878132000,24690.08,1.246311,match(20),3,0.414775000,140.073409000,7.580726922,359.921946348,0.057374000,58.820758000
polonius_int,materialize,N/A,0.000015589,,N/A,14.961278856,,N/A,14.961294445,,N/A,4848.48,56.259663820,4725.50,3.760347,match(20),,3,3,255.915838242,61773.55,17.105194,match(20),3,25.994762000,11035.31,1.737467,match(20),3,7.034121000,43.044301000,129.036796053,114.025874835,0.512778000,25.481984000
polonius_int,scallop,N/A,0.000017933,,N/A,6.233057180,,N/A,6.233075113,,N/A,5782.78,30.004595280,5277.07,4.813771,match(20),,3,3,295.695729256,54518.43,47.439783,match(20),3,16.617999000,11758.86,2.666100,match(20),3,11.847806000,16.677785000,202.201587200,78.435713299,0.725659000,15.892340000
tc,G5K-0.001,N/A,0.000345958,,N/A,1.581265962,,N/A,1.581611920,,N/A,1689.06,4.149141073,1118.00,2.623362,match(1),,3,3,20.158191204,15174.45,12.745346,match(1),3,3.800779000,1041.41,2.403105,match(1),3,0.006157000,3.848664000,0.164940208,18.976398609,0.002063000,3.798716000
tc,G10K-0.001,N/A,0.000573023,,N/A,9.439350602,,N/A,9.439923625,,N/A,5669.75,19.168512106,4918.00,2.030579,match(1),,3,3,90.603775740,58649.59,9.597935,match(1),3,20.839568000,4143.46,2.207599,match(1),3,0.024624000,18.079187000,0.671392856,86.366703306,0.004945000,20.834623000
sg,G5K-0.001,N/A,0.000294872,,N/A,2.873305913,,N/A,2.873600785,,N/A,2958.52,6.369354963,1208.00,2.216507,match(1),,3,3,23.735347033,19133.10,8.259793,match(1),3,5.187019000,914.76,1.805059,match(1),3,0.006239000,6.139461000,0.156187155,22.388803901,0.002327000,5.184692000
sg,G10K-0.001,N/A,0.000620452,,N/A,20.506593617,,N/A,20.507214069,,N/A,9038.69,66.881111622,5234.00,3.261346,match(1),,3,3,118.759691000,63786.29,5.791118,match(1),3,53.354055000,3968.62,2.601721,match(1),3,0.024968000,66.227629000,0.663593345,114.315369054,0.005270000,53.348785000
reach,livejournal,N/A,0.170152891,,N/A,1.507701011,,N/A,1.677853902,,N/A,2404.53,19.914304018,1411.50,11.868914,match(1),,3,3,429.697791815,12841.77,256.099647,match(1),3,4.378491000,3540.07,2.609578,match(1),3,18.645746000,0.968329000,424.970205540,4.040385303,1.696652000,2.681839000
reach,orkut,N/A,0.292004555,,N/A,2.177593752,,N/A,2.469598307,,N/A,3709.99,35.889213562,2453.00,14.532409,match(1),,3,3,735.387189388,14540.43,297.776034,match(1),3,6.327849000,3635.38,2.562299,match(1),3,33.514871000,1.658365000,730.617819698,3.906666150,2.683187000,3.644662000
cc,livejournal,N/A,0.166809487,,N/A,7.596688096,,N/A,7.763497583,,N/A,7283.01,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,7.855581000,4696.00,1.011861,match(1),3,N/A,N/A,N/A,N/A,1.628528000,6.227053000
cc,arabic,N/A,1.666990559,,N/A,71.366121974,,N/A,73.033112533,,N/A,27607.54,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,89.663278000,34723.63,1.227707,match(1),3,N/A,N/A,N/A,N/A,15.260684000,74.402594000
cc,orkut,N/A,0.289203049,,N/A,11.488882986,,N/A,11.778086035,,N/A,7834.02,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,11.274146000,4832.18,0.957214,match(1),3,N/A,N/A,N/A,N/A,2.728487000,8.545659000
sssp,livejournal-sssp,N/A,0.000039594,,N/A,1.961113293,,N/A,1.961152887,,N/A,3215.00,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,5.376781000,5238.14,2.741643,match(1),3,N/A,N/A,N/A,N/A,1.807113000,3.569668000
sssp,orkut-sssp,N/A,0.000026059,,N/A,2.616994970,,N/A,2.617021029,,N/A,5234.72,N/A,N/A,N/A,n/a,,3,,N/A,N/A,N/A,n/a,,8.040680000,5485.82,3.072455,match(1),3,N/A,N/A,N/A,N/A,3.008138000,5.032542000
bipartite,mind,N/A,0.000013224,,N/A,0.729377589,,N/A,0.729390813,,N/A,1144.87,16.452768326,521.50,22.556863,match(3),,3,3,115.037361622,4936.70,157.717042,match(3),3,1.892329000,948.00,2.594397,match(3),3,15.854342000,1.059099000,113.559698851,1.164710953,0.474507000,1.417822000
bipartite,netflix,N/A,0.000026369,,N/A,2.979795011,,N/A,2.979821380,,N/A,5196.65,108.709020615,2812.00,36.481724,match(3),,3,3,633.805299997,20970.02,212.699091,match(3),3,7.482088000,3798.15,2.510918,match(3),3,120.579537000,4.511882000,629.009911724,3.530955342,2.319718000,5.162370000
bipartite,roadNet-CA,N/A,0.000020207,,N/A,0.756228473,,N/A,0.756248680,,N/A,638.29,7.084219933,222.50,9.367580,match(3),,3,3,38.471955061,3096.23,50.872095,match(3),3,1.518622000,661.11,2.008099,match(3),3,1.765651000,5.231308000,33.650357092,4.446972315,0.152606000,1.366016000
dyck,kernel,N/A,0.023692363,,N/A,0.620384732,,N/A,0.644077095,,N/A,1240.89,9.077236652,653.00,14.093401,match(3),,3,3,72.081452608,6201.80,111.914324,match(3),3,6.352057000,3678.67,9.862262,match(3),3,6.266215000,2.736449000,65.845055724,4.532264961,0.270963000,6.081094000
dyck,postgre,N/A,0.010908207,,N/A,0.539448258,,N/A,0.550356465,,N/A,1299.43,5.126007795,339.41,9.313978,match(3),,3,3,36.245514870,3713.95,65.858252,match(3),3,3.325585000,1690.23,6.042602,match(3),3,2.957004000,2.038634000,32.588204300,2.859918951,0.152560000,3.173025000
crdt,crdt,N/A,0.000233006,,N/A,2.859893356,,N/A,2.860126362,,N/A,372.02,3.804642200,115.37,1.330236,match(8),,3,3,24.624298811,1120.92,8.609514,match(8),3,6.666921000,222.50,2.330988,match(8),3,0.103964000,2.894716000,1.828871588,22.356000069,0.018395000,6.648526000
galen,galen,N/A,0.000009427,,N/A,5.281947118,,N/A,5.281956545,,N/A,5198.03,26.061284542,3214.36,4.934021,match(2),,3,3,58.662853956,20949.91,11.106273,match(2),3,6.880274000,2386.30,1.302600,match(2),3,0.470885000,23.631924000,6.387111122,48.270688947,0.043850000,6.836424000
andersen,medium,N/A,0.045969729,,N/A,0.784128561,,N/A,0.830098290,,N/A,1550.40,39.766586304,1052.00,47.905877,match(1),,3,3,215.765347481,6531.92,259.927469,match(1),3,3.554941000,3537.25,4.282554,match(1),3,26.564620000,12.764374000,213.715054271,1.661764919,0.869823000,2.685118000
andersen,large,N/A,0.058083360,,N/A,1.290815992,,N/A,1.348899352,,N/A,2599.20,89.248205185,2113.00,66.163725,match(1),,3,3,438.146243572,12740.33,324.817595,match(1),3,7.092116000,7085.63,5.257706,match(1),3,65.397365000,29.690455000,434.096866540,3.343913743,1.701693000,5.390423000
cspa,cspa-httpd,N/A,0.003144014,,N/A,11.273151257,,N/A,11.276295271,,N/A,12299.43,45.707574129,9711.77,4.053421,match(1)+aux(2),,3,3,167.337586403,67485.62,14.839766,match(1)+aux(2),3,30.655142000,11950.18,2.718547,match(1)+aux(2),3,0.451510000,43.997719000,9.595924514,155.522132398,0.057515000,30.597627000
cspa,cspa-linux,N/A,0.019439308,,N/A,3.150810634,,N/A,3.170249942,,N/A,4035.17,11.990418196,1817.19,3.782168,match(1)+aux(2),,3,3,85.378529787,15676.68,26.931167,match(1)+aux(2),3,7.840149000,4680.83,2.473038,match(1)+aux(2),3,2.880064000,8.999677000,59.409106877,24.981504226,0.249308000,7.590841000
cspa,cspa-postgresql,N/A,0.008673858,,N/A,11.094961744,,N/A,11.103635602,,N/A,12532.17,54.120066404,10166.48,4.874085,match(1)+aux(2),,3,3,177.722248316,67684.30,16.005771,match(1)+aux(2),3,32.047961000,12421.39,2.886258,match(1)+aux(2),3,1.415906000,52.014286000,28.063674166,147.478339712,0.136304000,31.911657000
csda,csda-httpd,N/A,0.024928116,,N/A,0.879741674,,N/A,0.904669790,,N/A,1108.37,6.860448599,566.92,7.583373,match(1),,3,3,70.750363350,5205.12,78.205732,match(1),3,1.947741000,1443.11,2.152986,match(1),3,3.476213000,3.255823000,63.752689485,6.551758591,0.255076000,1.692665000
csda,csda-linux,N/A,0.104479254,,N/A,4.583300352,,N/A,4.687779606,,N/A,2971.30,36.798752546,2920.04,7.849932,match(1),,3,3,320.711970329,24893.54,68.414473,match(1),3,9.340926000,7437.20,1.992612,match(1),3,15.414293000,20.437437000,280.651477719,38.357247579,1.115924000,8.225002000
csda,csda-postgresql,N/A,0.090956185,,N/A,2.159127135,,N/A,2.250083320,,N/A,1773.97,21.048522234,1601.78,9.354552,match(1),,3,3,239.364040375,13495.95,106.380079,match(1),3,5.605831000,6009.78,2.491388,match(1),3,13.199341000,8.233988000,222.403101351,16.075205331,0.828107000,4.777724000
cvc5,cvc5,N/A,0.000065061,,N/A,8.127639026,,N/A,8.127704087,,N/A,3968.65,13.070207834,1569.35,1.608106,match(11),,3,3,128.343871117,23223.86,15.790913,match(11),3,6.360596000,2687.16,0.782582,match(11),3,0.568619000,11.803549000,10.307979410,112.904990618,0.104442000,6.256154000
z3,z3,N/A,0.004380453,,N/A,13.425375309,,N/A,13.429755762,,N/A,11078.48,89.703380108,6301.57,6.679450,match(11),,3,3,1091.748491049,72311.68,81.293250,match(11),3,25.423690000,24543.32,1.893087,match(11),3,51.231763000,37.127292000,946.149087492,112.681357836,3.510514000,21.913176000
doop,avrora,N/A,0.006939364,,N/A,1.996811561,,N/A,2.003750925,,N/A,1867.41,7.740548372,684.73,3.863029,match(26),,3,3,53.561994314,7449.26,26.730864,match(26),3,18.381430000,1411.38,9.173510,match(26),3,3.433814000,3.063552000,36.096410333,13.168278640,1.089903000,17.291527000
doop,batik,N/A,0.003994458,,N/A,9.325146090,,N/A,9.329140548,,N/A,5223.57,29.695434570,2515.50,3.183084,match(26),,3,3,216.147310257,35547.22,23.169049,match(26),3,192.389456000,4106.50,20.622420,match(26),3,5.090825000,22.404549000,50.417666076,147.384724809,1.509996000,190.879460000
doop,biojava,N/A,0.015424657,,N/A,3.652498971,,N/A,3.667923628,,N/A,3031.50,17.913516760,1627.90,4.883830,match(26),,3,3,121.035449028,13446.92,32.998356,match(26),3,75.047561000,3364.74,20.460503,match(26),3,8.912961000,6.739203000,84.219783042,28.503261303,2.703482000,72.344079000
doop,cassandra,N/A,0.004204467,,N/A,1.451151442,,N/A,1.455355909,,N/A,1528.07,4.996129274,420.07,3.432926,match(26),,3,3,32.200185061,5879.85,22.125299,match(26),3,8.909347000,858.89,6.121765,match(26),3,1.915803000,2.361532000,19.059046838,9.911703796,0.647750000,8.261597000
doop,eclipse,N/A,0.002647539,,N/A,8.943565008,,N/A,8.946212547,,N/A,4736.11,21.458090067,1808.57,2.398567,match(26),,3,3,174.654431820,34714.41,19.522723,match(26),3,193.517583000,3136.07,21.631230,match(26),3,2.141183000,18.026209000,21.588265008,136.981631573,0.696115000,192.821468000
doop,fop,N/A,0.007788536,,N/A,8.921839496,,N/A,8.929628032,,N/A,5648.31,28.211792231,2624.09,3.159347,match(26),,3,3,218.447973967,38559.58,24.463278,match(26),3,166.007165000,4144.78,18.590602,match(26),3,5.213713000,20.920851000,50.442954701,149.258537548,1.473778000,164.533387000
doop,graphchi,N/A,0.016071825,,N/A,3.533361006,,N/A,3.549432831,,N/A,2840.95,20.432061911,1867.15,5.756430,match(26),,3,3,138.907913685,13060.59,39.135242,match(26),3,81.214492000,3806.57,22.880977,match(26),3,11.329071000,6.387609000,105.607979345,25.024138742,3.190267000,78.024225000
doop,h2,N/A,0.007194793,,N/A,8.098334467,,N/A,8.105529260,,N/A,5556.56,25.695486069,2346.67,3.170118,match(26),,3,3,201.457843065,38719.61,24.854372,match(26),3,206.140983000,3862.62,25.432143,match(26),3,4.229907000,19.790644000,40.104447969,143.235816527,1.222023000,204.918960000
doop,h2o,N/A,0.042786581,,N/A,12.529137328,,N/A,12.571923909,,N/A,8302.62,65.177203178,5648.16,5.184346,match(26),,3,3,495.256560802,46488.09,39.393856,match(26),3,895.324294000,11504.34,71.216172,match(26),3,30.634120000,25.839756000,308.966264983,153.657051518,9.359833000,885.964461000
doop,jme,N/A,0.008131948,,N/A,2.891700554,,N/A,2.899832502,,N/A,2424.90,12.781330347,1156.29,4.407610,match(26),,3,3,87.614344597,11189.95,30.213588,match(26),3,50.569585000,2281.54,17.438795,match(26),3,5.849167000,4.904214000,57.702712107,23.539569289,1.738915000,48.830670000
doop,kafka,N/A,0.014696034,,N/A,3.212996020,,N/A,3.227692054,,N/A,2733.88,17.102493525,1566.36,5.298676,match(26),,3,3,113.353469849,11481.61,35.119047,match(26),3,39.837646000,3215.83,12.342456,match(26),3,9.287847000,5.066823000,85.998379826,20.085617343,2.628758000,37.208888000
doop,luindex,N/A,0.004637213,,N/A,2.574560977,,N/A,2.579198190,,N/A,2140.04,8.279801369,712.32,3.210223,match(26),,3,3,55.784307957,10182.53,21.628546,match(26),3,35.449374000,1201.30,13.744339,match(26),3,2.228030000,5.251710000,22.564040755,27.737121534,0.710507000,34.738867000
doop,lusearch,N/A,0.003972265,,N/A,2.166725352,,N/A,2.170697617,,N/A,1694.81,6.395047188,519.77,2.946079,match(26),,3,3,42.731921196,7222.98,19.685801,match(26),3,27.326671000,1015.21,12.588889,match(26),3,2.242103000,3.343965000,22.947804778,15.937153223,0.739711000,26.586960000
doop,pmd,N/A,0.008004956,,N/A,3.400654634,,N/A,3.408659590,,N/A,2741.81,11.999474764,1058.84,3.520291,match(26),,3,3,84.083358288,13721.83,24.667573,match(26),3,54.592232000,2086.45,16.015748,match(26),3,4.279368000,6.307703000,41.125812302,35.482151213,1.259459000,53.332773000
doop,spring,N/A,0.005430791,,N/A,6.940347730,,N/A,6.945778521,,N/A,4525.22,23.113842010,1835.59,3.327754,match(26),,3,3,158.301425457,28293.04,22.791027,match(26),3,179.113864000,2921.86,25.787442,match(26),3,4.263021000,17.643437000,41.663742789,102.479982626,1.263868000,177.849996000
doop,sunflow,N/A,0.007197737,,N/A,4.171070055,,N/A,4.178267792,,N/A,3082.95,14.769024849,1276.46,3.534724,match(26),,3,3,96.041723728,16421.35,22.986014,match(26),3,59.431876000,2113.07,14.224047,match(26),3,3.527668000,10.527372000,33.062563042,54.225689108,1.018118000,58.413758000
doop,tomcat,N/A,0.010693009,,N/A,2.177937006,,N/A,2.188630015,,N/A,1935.04,7.567734957,620.57,3.457750,match(26),,3,3,46.619741678,9223.95,21.300878,match(26),3,12.631145000,1070.67,5.771256,match(26),3,1.859744000,4.907205000,18.930885131,22.709915470,0.588271000,12.042874000
doop,xalan,N/A,0.006959103,,N/A,2.416074161,,N/A,2.423033264,,N/A,2192.24,11.503302097,994.55,4.747480,match(26),,3,3,73.612488508,9386.23,30.380305,match(26),3,57.680170000,1958.97,23.804944,match(26),3,5.194304000,4.696804000,49.919196604,18.118314995,1.540980000,56.139190000
doop,zxing,N/A,0.005436713,,N/A,2.540273936,,N/A,2.545710649,,N/A,2215.11,10.970583677,860.23,4.309439,match(26),,3,3,63.455605030,9769.59,24.926480,match(26),3,23.404606000,1619.08,9.193742,match(26),3,3.338543000,6.551613000,34.186177233,23.619826577,1.068372000,22.336234000
doop,jython,N/A,0.008534994,,N/A,281.094733567,,N/A,281.103268561,,N/A,53079.20,431.568509340,18980.84,1.535267,match(26),,3,3,N/A,N/A,N/A,n/a,,1349.494330000,21836.96,4.800707,match(26),3,6.072532000,420.068537000,N/A,N/A,1.765502000,1347.728828000
