Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded
doop,avrora,N/A,0.004950551,,N/A,2.107097254,,N/A,2.112047805,,N/A,1912.09,7.919897318,684.73,3.749867,match(26),,5,5
doop,batik,N/A,0.006917773,,N/A,9.645934969,,N/A,9.652852742,,N/A,5218.93,29.993791819,2514.84,3.107246,match(26),,5,5
doop,biojava,N/A,0.011854506,,N/A,3.850153123,,N/A,3.862007629,,N/A,3003.04,18.097113132,1628.41,4.685934,match(26),,5,5
doop,cassandra,N/A,0.004204705,,N/A,1.477458115,,N/A,1.481662820,,N/A,1514.99,5.118382454,420.98,3.454485,match(26),,5,5
doop,eclipse,N/A,0.002408776,,N/A,9.296642476,,N/A,9.299051252,,N/A,4734.45,21.887929678,1793.75,2.353781,match(26),,5,5
doop,fop,N/A,0.010679999,,N/A,9.242947118,,N/A,9.253627117,,N/A,5651.62,28.792863846,2620.08,3.111522,match(26),,5,5
doop,graphchi,N/A,0.018469039,,N/A,3.574634844,,N/A,3.593103883,,N/A,2992.40,20.704248428,1865.65,5.762218,match(26),,5,5
doop,h2,N/A,0.004128806,,N/A,8.609267680,,N/A,8.613396486,,N/A,5561.87,26.125055552,2346.28,3.033072,match(26),,5,5
doop,h2o,N/A,0.047291168,,N/A,13.170101348,,N/A,13.217392516,,N/A,8326.98,65.855443239,5643.66,4.982484,match(26),,5,5
doop,jme,N/A,0.009665617,,N/A,2.867070145,,N/A,2.876735762,,N/A,2407.16,12.673456192,1156.29,4.405499,match(26),,5,5
doop,jython,N/A,0.016838552,,N/A,286.786432081,,N/A,286.803270633,,N/A,52656.19,425.287631989,19019.13,1.482855,match(26),,5,5
doop,kafka,N/A,0.023154734,,N/A,3.277961199,,N/A,3.301115933,,N/A,2717.45,16.652212143,1565.81,5.044419,match(26),,5,5
doop,luindex,N/A,0.005077406,,N/A,2.604002744,,N/A,2.609080150,,N/A,2118.25,8.244275093,709.83,3.159840,match(26),,5,5
doop,lusearch,N/A,0.004455165,,N/A,2.131330501,,N/A,2.135785666,,N/A,1665.11,6.363819361,519.77,2.979615,match(26),,5,5
doop,pmd,N/A,0.009086607,,N/A,3.419602602,,N/A,3.428689209,,N/A,2716.77,12.052070141,1056.27,3.515066,match(26),,5,5
doop,spring,N/A,0.006685748,,N/A,7.072619989,,N/A,7.079305737,,N/A,4551.30,23.336325169,1830.59,3.296414,match(26),,5,5
doop,sunflow,N/A,0.006699873,,N/A,4.255929114,,N/A,4.262628987,,N/A,3096.99,14.884547234,1270.12,3.491870,match(26),,5,5
doop,tomcat,N/A,0.017097419,,N/A,2.248300255,,N/A,2.265397674,,N/A,1955.68,7.642223358,619.57,3.373458,match(26),,5,5
doop,xalan,N/A,0.005943306,,N/A,2.393281332,,N/A,2.399224638,,N/A,2117.52,11.383189440,994.65,4.744528,match(26),,5,5
doop,zxing,N/A,0.003888372,,N/A,2.575788963,,N/A,2.579677335,,N/A,2244.91,11.018460512,862.98,4.271255,match(26),,5,5
