app,varpointsto,match,exact_relations_of_21,ord_benign_relations,residual_tuples,flowlog_run_s,souffle_run_s,speedup_sf_over_fl,flowlog_peak_gib,souffle_peak_gib
jython,371435757,match(±0.02%),,,±0.02%,821.5,2831.2,3.45,160.6,210.5
spring,27878606,match,18,3,0,50.8,125.8,2.48,13.2,14.8
h2,22669373,match,16,5,0,43.8,105.8,2.42,13.6,16.2
batik,28249074,match,18,3,0,60.0,143.8,2.39,12.9,14.5
eclipse,10539055,match,16,5,0,24.6,53.8,2.19,7.3,5.5
fop,15414507,match,18,3,0,46.2,72.1,1.56,9.2,9.0
sunflow,6140841,match,19,2,0,24.8,37.0,1.49,5.9,3.9
lusearch,5627641,match,18,3,0,19.6,29.1,1.48,5.3,3.3
luindex,5396536,match,19,2,0,19.8,28.7,1.45,5.3,3.3
tomcat,3066514,match,16,5,0,15.6,19.0,1.22,4.2,2.0
zxing,4144794,match,16,5,0,23.9,28.2,1.18,5.0,3.1
pmd,4128719,match,19,2,0,27.4,30.4,1.11,5.1,3.3
cassandra,2545822,match,16,5,0,15.4,17.0,1.10,4.0,1.8
jme,3740675,match,19,2,0,34.1,34.4,1.01,5.5,3.6
avrora,2528797,match,19,2,0,22.5,22.3,0.99,4.3,2.4
biojava,3470185,match,18,3,0,53.6,45.9,0.86,6.5,5.0
kafka,4467153,match,19,2,0,61.5,51.2,0.83,6.8,5.3
graphchi,4480629,match,19,2,0,79.3,65.0,0.82,7.7,7.3
xalan,2387458,match,19,2,0,39.2,27.3,0.70,4.7,2.8
h2o,8348153,match,19,2,0,408.7,189.8,0.46,23.9,29.5
