dataset,varpointsto,flowlog_run_s,souffle_run_s,speedup_sf_over_fl,flowlog_peak_gib,souffle_peak_gib,result
jython,371435757,821.5,2831.2,3.45,160.6,210.5,match (±0.02%)
spring,27878606,50.8,125.8,2.48,13.2,14.8,match
h2,22669373,43.8,105.8,2.42,13.6,16.2,match
batik,28249074,60.0,143.8,2.39,12.9,14.5,match
eclipse,10539055,24.6,53.8,2.19,7.3,5.5,match
fop,15414507,46.2,72.1,1.56,9.2,9.0,match
sunflow,6140841,24.8,37.0,1.49,5.9,3.9,match
lusearch,5627641,19.6,29.1,1.48,5.3,3.3,match
luindex,5396536,19.8,28.7,1.45,5.3,3.3,match
tomcat,3066514,15.6,19.0,1.22,4.2,2.0,match
zxing,4144794,23.9,28.2,1.18,5.0,3.1,match
pmd,4128719,27.4,30.4,1.11,5.1,3.3,match
cassandra,2545822,15.4,17.0,1.10,4.0,1.8,match
jme,3740675,34.1,34.4,1.01,5.5,3.6,match
avrora,2528797,22.5,22.3,0.99,4.3,2.4,match
biojava,3470185,53.6,45.9,0.86,6.5,5.0,match
kafka,4467153,61.5,51.2,0.83,6.8,5.3,match
graphchi,4480629,79.3,65.0,0.82,7.7,7.3,match
xalan,2387458,39.2,27.3,0.70,4.7,2.8,match
h2o,8348153,408.7,189.8,0.46,23.9,29.5,match
