Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded
doop,cassandra,N/A,0.002094399,,N/A,1.528598221,,N/A,1.530692620,,N/A,1531.53,5.055731535,416.96,3.302904,match(26),,5,5
doop,avrora,N/A,0.006595957,,N/A,2.083249059,,N/A,2.089845016,,N/A,1886.11,7.939253330,682.96,3.798968,match(26),,5,5
doop,graphchi,N/A,0.024107931,,N/A,3.568525879,,N/A,3.592633810,,N/A,3000.85,20.682920218,1866.65,5.757035,match(26),,5,5
doop,kafka,N/A,0.021551408,,N/A,3.363296608,,N/A,3.384848016,,N/A,2741.88,16.715335369,1565.31,4.938282,match(26),,5,5
doop,lusearch,N/A,0.003100013,,N/A,2.187806998,,N/A,2.190907011,,N/A,1725.93,6.408213854,518.17,2.924914,match(26),,5,5
doop,xalan,N/A,0.008690313,,N/A,2.356632818,,N/A,2.365323131,,N/A,2122.40,11.493892431,994.55,4.859333,match(26),,5,5
doop,zxing,N/A,0.019088994,,N/A,2.650367055,,N/A,2.669456049,,N/A,2210.38,10.920973063,864.73,4.091086,match(26),,5,5
doop,jme,N/A,0.010884159,,N/A,2.794706365,,N/A,2.805590524,,N/A,2424.49,12.634322166,1156.88,4.503267,match(26),,5,5
doop,biojava,N/A,0.017862998,,N/A,3.829803767,,N/A,3.847666765,,N/A,3030.97,18.160952568,1628.00,4.719991,match(26),,5,5
doop,tomcat,N/A,0.002161403,,N/A,2.221324347,,N/A,2.223485750,,N/A,1969.53,7.639593840,620.57,3.435864,match(26),,5,5
doop,luindex,N/A,0.004070243,,N/A,2.602198524,,N/A,2.606268767,,N/A,2131.97,8.282112360,709.16,3.177766,match(26),,5,5
doop,pmd,N/A,0.009110667,,N/A,3.417387376,,N/A,3.426498043,,N/A,2698.41,12.020115614,1056.34,3.507988,match(26),,5,5
doop,sunflow,N/A,0.034689201,,N/A,4.200558176,,N/A,4.235247377,,N/A,3111.97,14.815396547,1276.52,3.498118,match(26),,5,5
doop,h2o,N/A,0.059872041,,N/A,12.820552294,,N/A,12.880424335,,N/A,8269.48,65.260171890,5641.16,5.066617,match(26),,5,5
doop,spring,N/A,0.005652048,,N/A,7.172366931,,N/A,7.178018979,,N/A,4564.19,23.120197773,1837.50,3.220972,match(26),,5,5
doop,batik,N/A,0.008502601,,N/A,9.656092268,,N/A,9.664594869,,N/A,5221.75,29.770946264,2511.68,3.080413,match(26),,5,5
doop,eclipse,N/A,0.004154576,,N/A,9.154152964,,N/A,9.158307540,,N/A,4764.08,21.602761745,1797.71,2.358816,match(26),,5,5
doop,fop,N/A,0.010061019,,N/A,9.084717393,,N/A,9.094778412,,N/A,5608.45,28.329772234,2617.59,3.114949,match(26),,5,5
doop,h2,N/A,0.004260008,,N/A,8.410320867,,N/A,8.414580875,,N/A,5530.14,25.934502602,2342.17,3.082091,match(26),,5,5
doop,jython,N/A,0.016031929,,N/A,289.307071197,,N/A,289.323103126,,N/A,53502.41,429.995954275,19021.61,1.486214,match(26),,5,5
polonius,clap-rs,N/A,0.000195585,,N/A,49.763535314,,N/A,49.763730899,,N/A,15118.69,139.355817318,12724.50,2.800349,match(20),,5,5
polonius,wgpu,N/A,0.000388814,,N/A,50.595009672,,N/A,50.595398486,,N/A,15195.78,139.467726946,12725.45,2.756530,match(20),,5,5
polonius,materialize,N/A,0.000059350,,N/A,15.739538812,,N/A,15.739598162,,N/A,4883.91,53.151249886,4680.50,3.376913,match(20),,5,5
polonius,scallop,N/A,0.000075470,,N/A,6.386388169,,N/A,6.386463639,,N/A,5810.03,35.277753115,5461.56,5.523832,match(20),,5,5
