Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded
doop,avrora,N/A,0.041739761,,N/A,2.028077477,,N/A,2.069817238,,N/A,1888.75,7.916787386,684.73,3.824873,match(26),,5,5
doop,cassandra,N/A,0.004308387,,N/A,1.502124798,,N/A,1.506433185,,N/A,1534.16,5.301647663,422.21,3.519338,match(26),,5,5
doop,fop,N/A,0.008675305,,N/A,8.966238190,,N/A,8.974913495,,N/A,5601.16,28.549235582,2615.59,3.181004,match(26),,5,5
doop,graphchi,N/A,0.015496906,,N/A,3.522756160,,N/A,3.538253066,,N/A,2977.60,21.156100035,1864.71,5.979250,match(26),,5,5
doop,h2,N/A,0.007717006,,N/A,8.429826044,,N/A,8.437543050,,N/A,5538.97,26.172710419,2344.67,3.101935,match(26),,5,5
doop,h2o,N/A,0.048338991,,N/A,13.051344790,,N/A,13.099683781,,N/A,8266.95,66.508774519,5642.16,5.077128,match(26),,5,5
doop,jme,N/A,0.011122407,,N/A,2.916207385,,N/A,2.927329792,,N/A,2383.77,13.247401714,1156.96,4.525422,match(26),,5,5
doop,jython,N/A,0.016902993,,N/A,287.335944535,,N/A,287.352847528,,N/A,53235.00,435.767534733,18942.80,1.516489,match(26),,5,5
doop,kafka,N/A,0.020952540,,N/A,3.251095021,,N/A,3.272047561,,N/A,2738.48,17.133882999,1565.81,5.236441,match(26),,5,5
doop,luindex,N/A,0.004564318,,N/A,2.656478149,,N/A,2.661042467,,N/A,2161.92,8.346647024,709.83,3.136608,match(26),,5,5
doop,lusearch,N/A,0.004788796,,N/A,2.156310824,,N/A,2.161099620,,N/A,1673.73,6.492517948,519.47,3.004266,match(26),,5,5
doop,pmd,N/A,0.009275987,,N/A,3.451240711,,N/A,3.460516698,,N/A,2705.96,12.128524065,1056.84,3.504830,match(26),,5,5
doop,spring,N/A,0.008645229,,N/A,7.165535223,,N/A,7.174180452,,N/A,4600.24,23.543553352,1834.59,3.281706,match(26),,5,5
doop,sunflow,N/A,0.005097148,,N/A,4.270904396,,N/A,4.276001544,,N/A,3131.58,15.292826653,1280.11,3.576432,match(26),,5,5
doop,tomcat,N/A,0.004372410,,N/A,2.185895356,,N/A,2.190267766,,N/A,1962.23,7.665203094,619.07,3.499665,match(26),,5,5
doop,batik,N/A,0.007886565,,N/A,9.637696593,,N/A,9.645583158,,N/A,5195.46,30.298837185,2518.50,3.141214,match(26),,5,5
doop,biojava,N/A,0.018887281,,N/A,3.801986304,,N/A,3.820873585,,N/A,3034.94,18.455244064,1627.41,4.830111,match(26),,5,5
doop,eclipse,N/A,0.004263076,,N/A,9.188964512,,N/A,9.193227588,,N/A,4727.58,22.002767324,1806.65,2.393367,match(26),,5,5
doop,xalan,N/A,0.007816674,,N/A,2.531444817,,N/A,2.539261491,,N/A,2097.68,11.576194048,996.55,4.558882,match(26),,5,5
doop,zxing,N/A,0.006425584,,N/A,2.629712022,,N/A,2.636137606,,N/A,2234.63,11.086649179,864.66,4.205641,match(26),,5,5
