Program,Dataset,Interp_Load,Compiler_Load,Load_Speedup,Interp_Exec,Compiler_Exec,Exec_Speedup,Interp_Total,Compiler_Total,Total_Speedup,Interp_PeakRss_MB,Compiler_PeakRss_MB,Souffle_Total,Souffle_PeakRss_MB,Souffle_vs_Compiler_Total,Crosscheck_Souffle,Interp_RunsSucceeded,Compiler_RunsSucceeded,Souffle_RunsSucceeded
doop,avrora,N/A,0.004741747,,N/A,2.101090916,,N/A,2.105832663,,N/A,1884.30,7.940951347,684.23,3.770932,match(26),,5,5
doop,batik,N/A,0.007152741,,N/A,9.687938051,,N/A,9.695090792,,N/A,5227.29,30.186415434,2522.50,3.113577,match(26),,5,5
doop,biojava,N/A,0.018971010,,N/A,3.907861889,,N/A,3.926832899,,N/A,3024.84,19.031963587,1627.82,4.846645,match(26),,5,5
doop,cassandra,N/A,0.003109788,,N/A,1.645820868,,N/A,1.648930656,,N/A,1526.26,5.482587337,419.71,3.324935,match(26),,5,5
doop,eclipse,N/A,0.004157425,,N/A,9.395371809,,N/A,9.399529234,,N/A,4779.95,22.333416462,1806.79,2.376014,match(26),,5,5
doop,fop,N/A,0.010185924,,N/A,9.336762161,,N/A,9.346948085,,N/A,5647.14,29.930058479,2618.58,3.202121,match(26),,5,5
doop,graphchi,N/A,0.015217114,,N/A,3.647346009,,N/A,3.662563123,,N/A,2992.78,21.106218815,1868.15,5.762691,match(26),,5,5
doop,h2,N/A,0.007366639,,N/A,8.561798271,,N/A,8.569164910,,N/A,5541.35,26.715106726,2344.17,3.117586,match(26),,5,5
doop,h2o,N/A,0.037188249,,N/A,13.125165459,,N/A,13.162353708,,N/A,8289.34,68.600401640,5645.30,5.211864,match(26),,5,5
doop,jme,N/A,0.010946068,,N/A,2.919776345,,N/A,2.930722413,,N/A,2411.82,13.594714642,1156.29,4.638691,match(26),,5,5
doop,jython,N/A,0.016977655,,N/A,293.399277556,,N/A,293.416255211,,N/A,53159.93,441.901327610,19026.30,1.506056,match(26),,5,5
doop,kafka,N/A,0.019247640,,N/A,3.431394701,,N/A,3.450642341,,N/A,2755.00,18.070500374,1565.49,5.236851,match(26),,5,5
doop,luindex,N/A,0.004795268,,N/A,2.721417065,,N/A,2.726212333,,N/A,2143.23,8.526403189,711.32,3.127564,match(26),,5,5
doop,lusearch,N/A,0.002649509,,N/A,2.250358081,,N/A,2.253007590,,N/A,1688.11,6.924066782,519.63,3.073255,match(26),,5,5
doop,pmd,N/A,0.009380140,,N/A,3.540256485,,N/A,3.549636625,,N/A,2723.61,12.676827431,1057.34,3.571303,match(26),,5,5
doop,spring,N/A,0.005959267,,N/A,7.380709503,,N/A,7.386668770,,N/A,4556.20,24.881337166,1836.59,3.368411,match(26),,5,5
doop,sunflow,N/A,0.006409701,,N/A,4.469364746,,N/A,4.475774447,,N/A,3129.68,15.193214417,1275.43,3.394544,match(26),,5,5
doop,tomcat,N/A,0.004968866,,N/A,2.288716660,,N/A,2.293685526,,N/A,1974.76,7.829859495,619.16,3.413659,match(26),,5,5
doop,xalan,N/A,0.006549416,,N/A,2.529719302,,N/A,2.536268718,,N/A,2126.60,11.655477285,995.05,4.595521,match(26),,5,5
doop,zxing,N/A,0.052118158,,N/A,2.685984856,,N/A,2.738103014,,N/A,2245.39,11.291624784,862.73,4.123886,match(26),,5,5
