variant,kind,rule_perms,signature
default.dl,default,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",67af9975
ablation_r0_p01.dl,ablation,"r0=0,2,1;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",3a3af8bd
ablation_r0_p02.dl,ablation,"r0=1,2,0;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",df71aac3
ablation_r1_p01.dl,ablation,"r0=0,1,2;r1=0,2,1;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8ada2d91
ablation_r1_p02.dl,ablation,"r0=0,1,2;r1=1,2,0;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",46c1cca7
ablation_r2_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,2,1;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",0d560b4b
ablation_r2_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=1,2,0;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",0377aca6
ablation_r3_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=1,2,0;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",953cc7ab
ablation_r4_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,3,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",a88448fc
ablation_r4_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,2,1,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",4d496129
ablation_r4_p03.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,2,3,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",dea3d1c6
ablation_r4_p04.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,1,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",c415ef6e
ablation_r4_p05.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,3,2,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",7f3287ed
ablation_r4_p06.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,2,0,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",b397271d
ablation_r4_p07.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,2,3,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8cfc2fd3
ablation_r4_p08.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,3,0,2;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",ab42cef0
ablation_r4_p09.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=1,3,2,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",2386c1b3
ablation_r4_p10.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,0,1;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",5d349be1
ablation_r4_p11.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=2,3,1,0;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",898bd880
ablation_r5_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,0,3,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8ab3b793
ablation_r5_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,3,1,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",2b2a3d11
ablation_r5_p03.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",54f338b5
ablation_r5_p04.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,3,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",12e5501e
ablation_r5_p05.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=1,2,0,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",f6dc1deb
ablation_r5_p06.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=1,2,0,3,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",655dee36
ablation_r5_p07.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,4,1,0,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",d7d3d841
ablation_r5_p08.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,3,4,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",bb4bddf2
ablation_r5_p09.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=3,4,2,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",8cced279
ablation_r5_p10.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,3,4,0,1;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",7b793986
ablation_r5_p11.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,2,1,4,3;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",93012c90
ablation_r5_p12.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=2,3,0,1,4;r6=0,1,2;r7=0,1,2,3,4;r8=0,1,2",344e195d
ablation_r6_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,2,1;r7=0,1,2,3,4;r8=0,1,2",55cfc8f8
ablation_r6_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=1,2,0;r7=0,1,2,3,4;r8=0,1,2",61198915
ablation_r7_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,3,4,2;r8=0,1,2",0e7b9947
ablation_r7_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,1,3,2,4;r8=0,1,2",cae22d88
ablation_r7_p03.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,3,1,2,4;r8=0,1,2",acbf0a8c
ablation_r7_p04.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,2,1,3;r8=0,1,2",b18201dc
ablation_r7_p05.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,2,3,1;r8=0,1,2",ba744659
ablation_r7_p06.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=1,4,2,3,0;r8=0,1,2",ec0d5f4c
ablation_r7_p07.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,3,1,4,0;r8=0,1,2",2e5332c5
ablation_r7_p08.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,4,3,0,1;r8=0,1,2",fbbdbf95
ablation_r7_p09.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=2,3,0,1,4;r8=0,1,2",0550d916
ablation_r7_p10.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,1,2;r3=0,1,2;r4=0,1,2,3;r5=0,1,2,3,4;r6=0,1,2;r7=0,4,1,3,2;r8=0,1,2",5754a84e
