variant,kind,rule_perms,signature
default.dl,default,"r0=0,1,2,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",41c3e03f
ablation_r0_p01.dl,ablation,"r0=0,1,3,2;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",8fd91159
ablation_r0_p02.dl,ablation,"r0=0,2,1,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",b2478346
ablation_r0_p03.dl,ablation,"r0=0,2,3,1;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",7c84d556
ablation_r0_p04.dl,ablation,"r0=0,3,1,2;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",92b3a2c6
ablation_r0_p05.dl,ablation,"r0=0,3,2,1;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",d987ede2
ablation_r0_p06.dl,ablation,"r0=1,2,0,3;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",6e3be721
ablation_r0_p07.dl,ablation,"r0=1,2,3,0;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",6aefefbf
ablation_r0_p08.dl,ablation,"r0=1,3,0,2;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",f829a94c
ablation_r0_p09.dl,ablation,"r0=1,3,2,0;r1=0,1,2,3;r2=0,1,2;r3=0,1,2;r4=0,1,2;r5=0,1,2;r6=0,1,2,3;r7=0,1,2;r8=0,1,2;r9=0,1,2;r10=0,1,2,3;r11=0,1,2,3;r12=0,1,2;r13=0,1,2,3,4;r14=0,1,2;r15=0,1,2,3,4;r16=0,1,2;r17=0,1,2;r18=0,1,2;r19=0,1,2;r20=0,1,2;r21=0,1,2,3,4;r22=0,1,2,3,4,5,6,7;r23=0,1,2,3,4,5,6,7;r24=0,1,2,3;r25=0,1,2;r26=0,1,2,3,4,5,6,7,8;r27=0,1,2,3;r28=0,1,2;r29=0,1,2,3,4,5,6,7;r30=0,1,2,3,4,5,6,7;r31=0,1,2,3,4,5;r32=0,1,2,3,4,5;r33=0,1,2,3,4,5",d510f6b1
