variant,kind,rule_perms,signature
default.dl,default,"r0=0,1,2;r1=0,1,2;r2=0,1,2",38b5fb1e
ablation_r2_p01.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=0,2,1",e47d79e0
ablation_r2_p02.dl,ablation,"r0=0,1,2;r1=0,1,2;r2=1,2,0",30dc4a29
ablation_r1_p01.dl,ablation,"r0=0,1,2;r1=0,2,1;r2=0,1,2",ebda6616
variant_0001.dl,variant,"r0=0,1,2;r1=0,2,1;r2=0,2,1",152d05b0
variant_0002.dl,variant,"r0=0,1,2;r1=0,2,1;r2=1,2,0",8da7223b
ablation_r1_p02.dl,ablation,"r0=0,1,2;r1=1,2,0;r2=0,1,2",4af9f49d
variant_0003.dl,variant,"r0=0,1,2;r1=1,2,0;r2=0,2,1",fd3d7d96
variant_0004.dl,variant,"r0=0,1,2;r1=1,2,0;r2=1,2,0",5c15f6b7
ablation_r0_p01.dl,ablation,"r0=0,2,1;r1=0,1,2;r2=0,1,2",a9d163e6
variant_0005.dl,variant,"r0=0,2,1;r1=0,1,2;r2=0,2,1",7a697045
variant_0006.dl,variant,"r0=0,2,1;r1=0,1,2;r2=1,2,0",701e516a
variant_0007.dl,variant,"r0=0,2,1;r1=0,2,1;r2=0,1,2",5bff8c52
variant_0008.dl,variant,"r0=0,2,1;r1=0,2,1;r2=0,2,1",b574c938
variant_0009.dl,variant,"r0=0,2,1;r1=0,2,1;r2=1,2,0",51ca2150
variant_0010.dl,variant,"r0=0,2,1;r1=1,2,0;r2=0,1,2",871cd371
variant_0011.dl,variant,"r0=0,2,1;r1=1,2,0;r2=0,2,1",85a6a3ce
variant_0012.dl,variant,"r0=0,2,1;r1=1,2,0;r2=1,2,0",fc9ed580
ablation_r0_p02.dl,ablation,"r0=1,2,0;r1=0,1,2;r2=0,1,2",6b2c024f
variant_0013.dl,variant,"r0=1,2,0;r1=0,1,2;r2=0,2,1",61fe53f9
variant_0014.dl,variant,"r0=1,2,0;r1=0,1,2;r2=1,2,0",8dd13b09
variant_0015.dl,variant,"r0=1,2,0;r1=0,2,1;r2=0,1,2",38930226
variant_0016.dl,variant,"r0=1,2,0;r1=0,2,1;r2=0,2,1",37c1aa9b
variant_0017.dl,variant,"r0=1,2,0;r1=0,2,1;r2=1,2,0",491c246e
variant_0018.dl,variant,"r0=1,2,0;r1=1,2,0;r2=0,1,2",92965d9c
variant_0019.dl,variant,"r0=1,2,0;r1=1,2,0;r2=0,2,1",8ed386b0
variant_0020.dl,variant,"r0=1,2,0;r1=1,2,0;r2=1,2,0",b78d8e28
