variant,kind,rule_perms,signature
default.dl,default,"r0=0,1,2,3;r1=0,1,2;r2=0,1,2;r3=0,1,2",41ae9100
ablation_r3_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2;r2=0,1,2;r3=0,2,1",e1ee2e25
ablation_r3_p02.dl,ablation,"r0=0,1,2,3;r1=0,1,2;r2=0,1,2;r3=1,2,0",df9323b3
ablation_r2_p01.dl,ablation,"r0=0,1,2,3;r1=0,1,2;r2=0,2,1;r3=0,1,2",fbcafc7b
variant_0001.dl,variant,"r0=0,1,2,3;r1=0,1,2;r2=0,2,1;r3=0,2,1",a0210ceb
variant_0002.dl,variant,"r0=0,1,2,3;r1=0,1,2;r2=0,2,1;r3=1,2,0",e4b835d6
ablation_r1_p01.dl,ablation,"r0=0,1,2,3;r1=0,2,1;r2=0,1,2;r3=0,1,2",9b64eddf
variant_0003.dl,variant,"r0=0,1,2,3;r1=0,2,1;r2=0,1,2;r3=0,2,1",b240a3df
variant_0004.dl,variant,"r0=0,1,2,3;r1=0,2,1;r2=0,1,2;r3=1,2,0",b1fae2ad
variant_0005.dl,variant,"r0=0,1,2,3;r1=0,2,1;r2=0,2,1;r3=0,1,2",d549598b
variant_0006.dl,variant,"r0=0,1,2,3;r1=0,2,1;r2=0,2,1;r3=0,2,1",e9af389a
variant_0007.dl,variant,"r0=0,1,2,3;r1=0,2,1;r2=0,2,1;r3=1,2,0",67e08ae8
ablation_r1_p02.dl,ablation,"r0=0,1,2,3;r1=1,2,0;r2=0,1,2;r3=0,1,2",a36cb34a
variant_0008.dl,variant,"r0=0,1,2,3;r1=1,2,0;r2=0,1,2;r3=0,2,1",698d0591
variant_0009.dl,variant,"r0=0,1,2,3;r1=1,2,0;r2=0,1,2;r3=1,2,0",75982860
variant_0010.dl,variant,"r0=0,1,2,3;r1=1,2,0;r2=0,2,1;r3=0,1,2",38b7b3d2
variant_0011.dl,variant,"r0=0,1,2,3;r1=1,2,0;r2=0,2,1;r3=0,2,1",4208b558
variant_0012.dl,variant,"r0=0,1,2,3;r1=1,2,0;r2=0,2,1;r3=1,2,0",4d611b55
ablation_r0_p01.dl,ablation,"r0=0,1,3,2;r1=0,1,2;r2=0,1,2;r3=0,1,2",cec7a03d
variant_0013.dl,variant,"r0=0,1,3,2;r1=0,1,2;r2=0,1,2;r3=0,2,1",66412158
variant_0014.dl,variant,"r0=0,1,3,2;r1=0,1,2;r2=0,1,2;r3=1,2,0",f36f230e
variant_0015.dl,variant,"r0=0,1,3,2;r1=0,1,2;r2=0,2,1;r3=0,1,2",92ba8ae8
